	hin_id	hin_sent	eng_id	eng_sent
0	skt_data_0001	भोः शिष्य उत्तिष्ठ प्रातः कालो जातः।	skt_data_0001	Student! Get up. It is morning.
1	skt_data_0002	उत्तिष्ठति।	skt_data_0002	I am getting up.
2	skt_data_0003	अन्ये सर्वे विद्यार्थिन उत्थिता न वा?	skt_data_0003	Have all other students got up or not?
3	skt_data_0004	अधुना तु नोत्थिताः खलु।	skt_data_0004	So far, they have not got up.
4	skt_data_0005	सम्प्रत्यस्माभिः किं कर्त्तव्यम्?	skt_data_0005	What shall  we do now?
5	skt_data_0006	आवश्यकं शौचादिकं कृत्वा सन्ध्यावन्दनम्।	skt_data_0006	offer benedictory prayers to God after carrying out essential cleanliness, etc. Of the body.
6	skt_data_0007	 सर्व उत्थापिताः।	skt_data_0007	All have been awakened / wakened/woken.
7	skt_data_0008	आवश्यकं कृत्वा सन्ध्योपासिताऽतः परमस्माभिः किं करणीयम्?	skt_data_0008	We have offered benedictory prayers after car- rying out morning essentials. What shall  we do hereafter?
8	skt_data_0009	अग्निहोत्रं विधाय पठत।	skt_data_0009	Carry out studies after performing yajna.
9	skt_data_0010	पूर्वं किं पठनीयम्?	skt_data_0010	What shall  we study first?
10	skt_data_0011	वर्णोच्चारणशिक्षामधीध्वम्।	skt_data_0011	Study Phonetics
11	skt_data_0012	पश्चात्किमध्येतव्यम्?	skt_data_0012	What should be read thereafter?
12	skt_data_0013	किंचित्संस्कृतोक्तिबोधः क्रियताम्।	skt_data_0013	Acquire some knowledge in spoken Sanskrit.
13	skt_data_0014	तानपि सर्वानुत्थापय।	skt_data_0014	Get all of them up also. .
14	skt_data_0015	पुनः किमभ्यसनीयम्?	skt_data_0015	What should be practised thereafter?
15	skt_data_0016	यथायोग्यव्यवहारानुष्ठानाय प्रयतध्वम्।	skt_data_0016	Try to comply with the rules of proper etiquette.
16	skt_data_0017	कुतोऽनुचितव्यवहारकर्तुर्विद्यैव न जायते।	skt_data_0017	Because one who violates etiquette does not acquire knowledge and learning.
17	skt_data_0018	को विद्वान् भवितुमर्हति?	skt_data_0018	Who is fit to be a scholar ? OR Who can become scholarly (=a scholor
18	skt_data_0019	यः सदाचारी प्राज्ञः पुरुषार्थी भवेत्।	skt_data_0019	One who is virtuous, wise and industrious.
19	skt_data_0020	कीदृशादाचार्यादधीत्य पण्डितो भवितुं शक्नोति?	skt_data_0020	Learning from what kind of teacher can one become a scholar?
20	skt_data_0021	अनूचानतः।	skt_data_0021	From one who is highly learned and articulate
21	skt_data_0022	अथ किमध्यापयिष्यते भवता?	skt_data_0022	What will you teach hereafter?
22	skt_data_0023	अष्टाध्यायीमहाभाष्यम्।	skt_data_0023	Ashtadhyayee and Mahabhashyam.
23	skt_data_0024	किमनेन पठितेन भविष्यति?	skt_data_0024	What will be the benefit of studying this?
24	skt_data_0025	शब्दार्थसम्बन्धविज्ञानम्।	skt_data_0025	knowledge of words, their meanings and their inter-relationship
25	skt_data_0026	पुनः क्रमेण किं किमध्येतव्यम्?	skt_data_0026	What is the next in order for studying?
26	skt_data_0027	शिक्षाकल्पनिघण्टुनिरुक्तछन्दोज्योतिषाणि वेदानामङ्ङ्गानि मीमांसावैशेषिकन्याययोग-सांख्यवेदान्तान्युपाङ्ङ्गान्यायु- र्धनुर्गान्धर्वार्थानुपवेदानैतरेयशतपथसामगोपथब्राह्मणान्यधीत्य ऋग्यजुस्सामाऽथर्ववेदान् पठत।	skt_data_0027	Having read the Vedangas, i.e., Shiksha, Kalpa, Nighantu, Nirukta, Chhand , Jyotish  and the Upangas i.e. Meemansa, Vaisheshika, Nyaya, Yoga, Sankhya and Vedanta and Upavedas i.e. Ayurveda, Dhanurveda, Gandharvaveda and Arthaveda, and Brahmanas, i.e., Aitraya, Shatpath, Sama and Gopatha, you should read the Rigveda, the Yajurveda, the Samaveda and the Artharvaveda.
27	skt_data_0028	एतत्सर्वं विदित्वा किं कार्य्यम्?	skt_data_0028	Having acquired all this knowledge what should be done next?
28	skt_data_0029	धर्मजिज्ञासाऽनुष्ठाने एतेषामेवाऽध्यापनं च।	skt_data_0029	Develop an urge for knowing dharma , practising it and then teaching it.
29	skt_data_0030	तव किन्नामास्ति?	skt_data_0030	What is your name?
30	skt_data_0031	देवदत्तः।	skt_data_0031	Devadatta .
31	skt_data_0032	कोऽभिजनो युवयोर्वर्तते?	skt_data_0032	What is the native place of the two of you?
32	skt_data_0033	कुरुक्षेत्रम्।	skt_data_0033	Kurukshetra
33	skt_data_0034	युष्माकं जन्मदेशः को विद्यते?	skt_data_0034	What is the country of your birth?
34	skt_data_0035	पञ्चालाः।	skt_data_0035	the Punjab.
35	skt_data_0036	भवन्तः कुत्रत्याः?	skt_data_0036	Where do you come from?
36	skt_data_0037	वयं दाक्षिणात्याः स्मः।	skt_data_0037	We are from the south.
37	skt_data_0038	तत्र का पूर्वः?	skt_data_0038	Which is your home town there?
38	skt_data_0039	मुम्बापुरी।	skt_data_0039	Mumbai.
39	skt_data_0040	इमे क्व निवसन्ति?	skt_data_0040	Where do these people live?
40	skt_data_0041	नेपाले।	skt_data_0041	in Nepal.
41	skt_data_0042	अयं किमधीते?	skt_data_0042	What is he studying?
42	skt_data_0043	व्याकरणम्।	skt_data_0043	grammar.
43	skt_data_0044	त्वया किमधीतम्?	skt_data_0044	What have you studied?
44	skt_data_0045	न्यायशास्त्रम्।	skt_data_0045	Nyayashastram .
45	skt_data_0046	भवता किं पठितमस्ति?	skt_data_0046	What have you studied?
46	skt_data_0047	पूर्वमीमांसाशास्त्रम्।	skt_data_0047	the Purva Meemansa Shastram.
47	skt_data_0048	अयं भवदीयश्छात्रः किं प्रचर्चयति?	skt_data_0048	What is this student of yours studying?
48	skt_data_0049	ऋग्वेदम्।	skt_data_0049	the Rigveda
49	skt_data_0050	त्वं कुत्र गच्छसि?	skt_data_0050	Where are you going?
50	skt_data_0051	पाठाय व्रजामि।	skt_data_0051	I am going for studying.
51	skt_data_0052	कस्मादधीषे?	skt_data_0052	By whom are you being taught?
52	skt_data_0053	यज्ञदत्तादध्यापकात्।	skt_data_0053	By Yajnadatta, the teacher.
53	skt_data_0054	इमे कुतोऽभ्यस्यन्ति?	skt_data_0054	By whom are these being taught?
54	skt_data_0055	विष्णुमित्रात्।	skt_data_0055	By Vishnumitra.
55	skt_data_0056	तवाध्ययने कियन्तः संवत्सरा व्यतीताः?	skt_data_0056	How many years have passed since you started Studying? (= Since when have you been study-
56	skt_data_0057	पञ्च।	skt_data_0057	Five .
57	skt_data_0058	भवान् कति वार्षिकः?	skt_data_0058	How old are you?
58	skt_data_0059	त्रयोदशवार्षिकः।	skt_data_0059	Thirteen years old.
59	skt_data_0060	त्वया पठनारम्भः कदा कृतः?	skt_data_0060	When did you start studying?
60	skt_data_0061	यदाऽहमष्टवार्षिकोऽ भूवम्।	skt_data_0061	When I became  eight years old.
61	skt_data_0062	तव मातापितरौ जीवतो न वा?	skt_data_0062	Are your parents alive or not?
62	skt_data_0063	विद्येते।	skt_data_0063	They are alive.
63	skt_data_0064	तव कति भ्रातरो भगिन्यश्च?	skt_data_0064	How many brothers and sisters do you have?
64	skt_data_0065	त्रयो भ्रातरश्चैका भगिन्यस्ति।	skt_data_0065	three brothers and one sister.
